Order ID,Order Date,Ship Mode,Customer Name,Segment,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Month
CA-2023-1001,2024-04-01,Standard Class,Darrell Harding,Consumer,West,Technology,Monitor,Monitor Scene,807.97,7,0.27,-44.37,4
CA-2024-1002,2023-01-26,Second Class,Norma Perry,Consumer,Central,Furniture,Table,Table Education,974.58,4,0.28,188.97,1
CA-2023-1003,2024-05-12,First Class,Michael Cohen,Home Office,West,Furniture,Chair,Chair Both,913.06,2,0.4,271.24,5
CA-2024-1004,2023-12-02,Standard Class,Dana Stout,Consumer,Central,Technology,Printer,Printer Public,167.92,10,0.48,75.84,12
CA-2025-1005,2024-08-09,Standard Class,Gary Patterson,Home Office,Central,Technology,Monitor,Monitor Would,414.43,4,0.12,257.29,8
CA-2025-1006,2023-05-26,Standard Class,Kevin Jefferson,Home Office,Central,Furniture,Sofa,Sofa Expect,611.16,3,0.21,91.58,5
CA-2024-1007,2024-12-26,First Class,Russell Perez,Corporate,East,Furniture,Bookcase,Bookcase Make,903.55,2,0.42,96.36,12
CA-2024-1008,2024-03-11,Second Class,Lori Russell,Corporate,West,Office Supplies,Binder,Binder News,322.86,8,0.06,-13.54,3
CA-2025-1009,2024-08-08,Standard Class,Paul Smith,Corporate,East,Technology,Phone,Phone Today,200.57,9,0.47,71.64,8
CA-2023-1010,2023-11-25,Second Class,Robert Kemp,Consumer,Central,Office Supplies,Paper,Paper Chair,940.32,5,0.27,38.06,11
CA-2023-1011,2024-12-16,Standard Class,Larry Rosales,Home Office,West,Furniture,Chair,Chair College,619.99,3,0.21,13.78,12
CA-2025-1012,2024-05-07,First Class,Michael Davis,Home Office,South,Office Supplies,Storage,Storage Republican,322.61,4,0.2,213.47,5
CA-2025-1013,2024-12-06,Second Class,Stephen Brooks,Corporate,West,Office Supplies,Binder,Binder About,210.16,6,0.1,-26.46,12
CA-2025-1014,2024-11-07,Second Class,Zachary Morales,Home Office,East,Technology,Monitor,Monitor Air,98.71,10,0.42,265.92,11
CA-2023-1015,2024-05-21,Standard Class,Amanda Ortiz,Home Office,West,Technology,Printer,Printer Ok,597.15,3,0.42,111.46,5
CA-2023-1016,2023-01-23,First Class,Lawrence Reilly,Consumer,East,Furniture,Bookcase,Bookcase Total,436.57,4,0.49,104.5,1
CA-2024-1017,2023-04-30,Second Class,Brandon Smith,Home Office,Central,Technology,Laptop,Laptop Audience,378.77,1,0.42,274.55,4
CA-2024-1018,2024-12-10,First Class,Bradley Taylor,Home Office,South,Technology,Phone,Phone Political,783.62,6,0.22,97.21,12
CA-2023-1019,2023-11-10,Second Class,Elizabeth Callahan,Corporate,Central,Technology,Laptop,Laptop Various,289.55,10,0.08,-32.15,11
CA-2023-1020,2023-03-10,Standard Class,Holly Johnson,Home Office,South,Furniture,Table,Table Activity,830.32,3,0.19,26.15,3
CA-2024-1021,2023-01-22,First Class,Erin Richards,Home Office,West,Office Supplies,Binder,Binder Too,774.49,10,0.2,-24.47,1
CA-2023-1022,2023-12-12,Standard Class,Jessica Harris,Consumer,Central,Furniture,Bookcase,Bookcase Maintain,797.53,10,0.48,188.72,12
CA-2025-1023,2024-11-21,Standard Class,Mariah Johnson,Consumer,Central,Technology,Laptop,Laptop Term,865.93,8,0.16,42.06,11
CA-2023-1024,2023-04-01,Standard Class,Amanda Taylor,Consumer,West,Office Supplies,Paper,Paper Firm,464.55,4,0.02,262.56,4
CA-2025-1025,2023-10-15,First Class,Jennifer Cook,Corporate,Central,Furniture,Table,Table Level,285.09,10,0.11,-47.63,10
CA-2023-1026,2024-12-20,Standard Class,Joyce Rivera,Consumer,East,Technology,Phone,Phone Oil,70.89,4,0.27,-32.38,12
CA-2023-1027,2023-06-07,Second Class,Jessica Thompson,Corporate,South,Technology,Monitor,Monitor Value,151.68,8,0.24,181.19,6
CA-2024-1028,2023-06-10,Second Class,Chelsea Gallagher,Consumer,Central,Technology,Laptop,Laptop From,895.95,4,0.11,212.11,6
CA-2025-1029,2023-07-04,Second Class,April Kim,Corporate,Central,Technology,Monitor,Monitor Standard,384.52,6,0.27,191.16,7
CA-2025-1030,2024-12-19,Standard Class,Jorge Weber,Corporate,West,Office Supplies,Paper,Paper Set,56.56,8,0.19,284.1,12
CA-2024-1031,2024-07-02,Standard Class,Anthony Shields,Corporate,West,Office Supplies,Paper,Paper Because,856.35,10,0.13,268.63,7
CA-2023-1032,2024-05-18,Second Class,Daniel Williams,Consumer,West,Furniture,Sofa,Sofa Financial,958.79,1,0.43,154.04,5
CA-2024-1033,2023-05-27,First Class,Jamie Rodriguez,Corporate,Central,Technology,Phone,Phone Usually,434.42,1,0.43,195.54,5
CA-2024-1034,2024-03-27,Standard Class,Gary Miranda,Consumer,West,Furniture,Chair,Chair Teacher,277.98,1,0.14,90.37,3
CA-2024-1035,2023-11-24,Standard Class,Michael Leach,Corporate,West,Office Supplies,Storage,Storage Including,892.97,3,0.25,272.16,11
CA-2025-1036,2024-04-21,Second Class,Stephanie Gibson,Consumer,West,Technology,Phone,Phone Career,226.99,10,0.31,-14.11,4
CA-2025-1037,2023-07-31,Second Class,Jose Wallace,Consumer,East,Technology,Printer,Printer Court,729.22,7,0.01,-40.88,7
CA-2023-1038,2023-08-04,First Class,Benjamin Becker,Corporate,South,Furniture,Chair,Chair Win,810.63,4,0.21,163.46,8
CA-2023-1039,2024-11-29,Standard Class,Sheryl Lawson,Home Office,South,Furniture,Sofa,Sofa In,401.91,1,0.3,8.09,11
CA-2023-1040,2024-10-06,First Class,Megan Little,Home Office,South,Furniture,Chair,Chair Behind,250.41,9,0.46,0.83,10
CA-2023-1041,2023-02-21,Second Class,Latoya Graham,Home Office,East,Office Supplies,Binder,Binder Far,727.59,8,0.43,252.47,2
CA-2023-1042,2024-07-18,Standard Class,Heather Garcia,Consumer,South,Furniture,Sofa,Sofa Daughter,679.52,1,0.19,57.15,7
CA-2023-1043,2024-07-27,Standard Class,Melissa Holmes,Consumer,West,Technology,Laptop,Laptop For,450.58,10,0.5,53.42,7
CA-2025-1044,2023-12-24,Second Class,Hannah Jones,Corporate,East,Technology,Printer,Printer Hospital,780.7,3,0.46,4.16,12
CA-2025-1045,2024-10-01,Second Class,Chloe Ball,Consumer,West,Office Supplies,Paper,Paper Three,717.39,2,0.38,250.57,10
CA-2025-1046,2023-06-02,Standard Class,Deborah Bowen,Consumer,South,Furniture,Bookcase,Bookcase Catch,41.96,10,0.32,194.79,6
